,Target,Text
Evacuation,0,Our mission to see the end of this movie last night @markoturner @annaciclismo after getting fire alarm evacuation http://t.co/5kFOVovjso
Evacuation,0,Update: Bend FD says roofing co. workers accidentally cut through natural gas line in Post Office leading to evacuation for about a half-hr
Evacuation,1,Evacuation Advisory for Swayback Ridge Area..voluntary-InciWeb:Mad River Complex Announcement http://t.co/vN73o4SGzJ #wildfires #calfires
Evacuation,0,Run out evacuation hospital indexing remedial of angioplasty dissertation at power elite hospitals dismayed:Û_ http://t.co/VGvJGr8zoO
Evacuation,0,So the IFAK is an 'individual first aid kit' to treat a single trauma victim I think I should create the EFAK or evacuation first aid kit
Evacuation,0,"Elem Pomo helping the displaced from the Rocky Fire. Please consider!
Elem Evacuation Center http://t.co/dYDFvz7amj via @gofundme"
Evacuation,0,Bend Post Office roofers cut gas line prompt evacuation - http://t.co/6mF7eyZOAw
Evacuation,0,@Eric_Bulak @jaclynsonne @_OliviaAnn_ I was looking for you guys on the live stream. I'm guessing the evacuation cost you the front?
Evacuation,0,FAAN gives owners of abandoned aircraft evacuation ultimatum http://t.co/zZpojgngAJ via @dailytimesngr. They should probe them too!
Evacuation,0,Updated #RockyFire map with Mandatory Evacuation areas (red) Advisory Evacuation (yellow) 2 Evac Centers (green) https://t.co/gZEgjoAKKw
Evacuation,0,UPDATE: The GNWT has just issued a voluntary evacuation order for cabin owners at Pickerel Lake near the Reid... http://t.co/RVSYxwj9Cp
Evacuation,1,Evacuation order lifted for town of Roosevelt Wash. though residents warned to be ready to leave quickly http://t.co/Na0ptN0dTr
Evacuation,0,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.
Evacuation,0,my school just put the evacuation alarms on accidently with 2 different trial exams happening are you kidding me
Evacuation,0,Walking down the middle of Michigan Ave last Sunday during #Lolla evacuation 2015 https://t.co/YrfZ5WJ7R2
Evacuation,0,INK Entertainment Addresses Veld Evacuation and Refund Status http://t.co/vKu3RtOZ1J #TRC via @TorontoRC
Evacuation,1,ÛÏA voluntary evacuation is being recommended at this timeÛ for Pickerel Lake cabins across highway from #Reidlake fire says MACA #NWT #YZF
Evacuation,1,Evacuation order lifted for town of Roosevelt: http://t.co/EDyfo6E2PU http://t.co/M5KxLPKFA1
Evacuation,0,Update: More from Bend FD on how a natural gas line cut prompted evacuation of the main Post Office this afternoon http://t.co/wMmkIrJ0Hw
Evacuation,0,New evacuation ordered for 25 homes in danger of Hwy. 8 fire near Roosevelt Wash. http://t.co/SQsyUeh4yI #KOIN6News http://t.co/199t7ND0pm
Evacuation,1,Reid Lake fire prompts campground evacuation order http://t.co/jBODKM6rBU
Evacuation,0,"This is an evil generation
Rock and roll evacuation!
As far as the eye can see!
(Hey hey hey hey!)"
Evacuation,0,@ariabrisard @leiaorganasolo Good. Play along with her. You may begin your operation with the death star. The evacuation is nearly complete.
Evacuation,0,Evacuation drill at work. The fire doors wouldn't open so i got to smash the emergency release glass #feelingmanly
Evacuation,1,Evacuation order lifted for Roosevelt after #Wildfire misses town - KOMO News http://t.co/qCpMktGLLR
Evacuation,0,Gas leak forces evacuation in east Saint John http://t.co/E1vkc2efsT #NB http://t.co/BeUa507Iug
